"election_year","state","total_votes","percentage_votes_republican","percentage_votes_democracts","percentage_votes_third","adjusted_percentage_votes_republican","adjusted_percentage_votes_democrats"
1976,"KANSAS",957845,0.524878242304339,0.449363936753859,0.0257578209418016,0.538755407625381,0.461244592374619
1976,"KENTUCKY",1167142,0.455687482757025,0.527542492687265,0.0167700245557096,0.463459713533565,0.536540286466435
1976,"LOUISIANA",1277383,0.459882431502533,0.51774996222746,0.0223676062700067,0.470404248521193,0.529595751478807
1976,"MAINE",482968,0.489307780225605,0.480940766261947,0.029751453512448,0.504311788970954,0.495688211029046
1976,"MARYLAND",1432273,0.469645800765636,0.530354199234364,0,0.469645800765636,0.530354199234364
1976,"MASSACHUSETTS",2547558,0.404417092760989,0.561115782251081,0.0344671249879296,0.418853778288941,0.58114622171106
1976,"MICHIGAN",3651590,0.518607510700818,0.464650741183977,0.0167417481152046,0.5274377404987,0.4725622595013
1976,"MINNESOTA",1949931,0.420217433334821,0.548963014588721,0.0308195520764581,0.433580180280289,0.566419819719711
1976,"MISSISSIPPI",768390,0.477421621832663,0.496270123244706,0.0263082549226304,0.490321114712467,0.509678885287533
1976,"MISSOURI",1953600,0.47473536036036,0.511049856674857,0.014214782964783,0.481580928742412,0.518419071257588
1976,"MONTANA",328734,0.528399861286025,0.454041869718374,0.0175582689956013,0.537843461459862,0.462156538540138
1976,"NEBRASKA",606749,0.592038882635159,0.384496719401268,0.0234643979635731,0.606264514473968,0.393735485526032
1976,"NEVADA",201876,0.501659434504349,0.458098040381224,0.0402425251144267,0.522693959288162,0.477306040711838
1976,"NEW HAMPSHIRE",339627,0.547468251935211,0.434726921004514,0.0178048270602749,0.557392529528149,0.442607470471851
1976,"NEW JERSEY",3014472,0.500813409446165,0.479239150338766,0.0199474402150692,0.511006684739507,0.488993315260493
1976,"NEW MEXICO",416590,0.507498979812285,0.482844043303968,0.00965697688374661,0.512447675165488,0.487552324834512
1976,"NEW YORK",6668262,0.423785538120728,0.486508328556976,0.089706133322296,0.465548053912981,0.534451946087019
1976,"NORTH CAROLINA",1677906,0.442194020404004,0.552691867124857,0.00511411247113962,0.44446707501535,0.555532924984649
1976,"NORTH DAKOTA",297308,0.516918481843745,0.457700431875362,0.0253810862808939,0.530380105051732,0.469619894948268
1976,"OHIO",4110456,0.486716315659382,0.488986866663942,0.0242968176766763,0.498836454033514,0.501163545966486
1976,"OKLAHOMA",1092251,0.499617761851443,0.48747220190231,0.0129100362462474,0.506152205166257,0.493847794833743
1976,"OREGON",1029876,0.477843934609604,0.476180627570698,0.0459754378196987,0.500871731769203,0.499128268230797
1976,"PENNSYLVANIA",4620787,0.477322153131058,0.503956793507253,0.0187210533616893,0.486428609078264,0.513571390921736
1976,"RHODE ISLAND",410584,0.441441946106034,0.554420045593593,0.00413800830037215,0.44327622681194,0.55672377318806
1976,"SOUTH CAROLINA",802583,0.431293710432441,0.561695176698236,0.00701111286932317,0.434338909550841,0.565661090449159
1976,"SOUTH DAKOTA",300678,0.503877902606775,0.48912125263571,0.00700084475751468,0.507430343668048,0.492569656331952
1976,"TENNESSEE",1476346,0.429417629742621,0.559407483069687,0.0111748871876918,0.434270554194683,0.565729445805317
1976,"TEXAS",4071884,0.479704235189411,0.511389568072175,0.00890619673841396,0.484014967716229,0.515985032283771
1976,"UTAH",541218,0.624347305521989,0.336481787375882,0.0391709071021289,0.649800583825944,0.350199416174055
1976,"VERMONT",183902,0.545872258050483,0.423040532457505,0.031087209492012,0.56338636810057,0.43661363189943
1976,"VIRGINIA",1697094,0.492933214070641,0.479582156321335,0.0274846296080241,0.506864188554637,0.493135811445363
1976,"WASHINGTON",1555534,0.49997749968821,0.461142604404661,0.038879895907129,0.520202935677952,0.479797064322048
1976,"WEST VIRGINIA",750590,0.419304813546677,0.580695186453323,0,0.419304813546677,0.580695186453323
1976,"WISCONSIN",2101336,0.47826097301907,0.495033635744117,0.0267053912368132,0.491383563325003,0.508616436674997
1976,"WYOMING",156343,0.593035825076914,0.398092655251594,0.00887151967149153,0.598344046051782,0.401655953948218
1980,"ALABAMA",1341929,0.487501201628402,0.474488590678046,0.0380102076935516,0.506763383070395,0.493236616929605
1980,"ALASKA",158445,0.543481965350753,0.264079017955758,0.19243901669349,0.672991856448411,0.327008143551589
1980,"ARIZONA",873945,0.606088483829074,0.282446835899284,0.111464680271642,0.682120868323351,0.317879131676649
1980,"ARKANSAS",837582,0.481342722264805,0.475226306200468,0.0434309715347273,0.503197059429235,0.496802940570765
1980,"CALIFORNIA",8582938,0.526975028830454,0.359194369107641,0.113830602061905,0.594666245592095,0.405333754407905
1980,"COLORADO",1184450,0.550689349487104,0.31070032504538,0.138610325467517,0.639303402128646,0.360696597871354
1980,"CONNECTICUT",1406285,0.481559570072923,0.385222056695478,0.1332183732316,0.555571963227126,0.444428036772874
1980,"DELAWARE",235668,0.472070879372677,0.44874144983621,0.0791876707911129,0.512667852501774,0.487332147498226
1980,"DISTRICT OF COLUMBIA",173889,0.134068284940393,0.748931789819943,0.116999925239664,0.151832699421664,0.848167300578336
1980,"FLORIDA",3686927,0.555191627065033,0.385002198307696,0.0598061746272709,0.590507629471969,0.409492370528031
1980,"GEORGIA",1596805,0.409673065903476,0.557961053478665,0.0323658806178588,0.423376003075483,0.576623996924517
1980,"HAWAII",303287,0.429006188857419,0.448021181257357,0.122972629885224,0.489159407649131,0.510840592350869
1980,"IDAHO",437431,0.664559667696162,0.251907157928908,0.08353317437493,0.725132267873312,0.274867732126688
1980,"ILLINOIS",4749721,0.496460528944753,0.417164081848176,0.0863753892070713,0.54339662382111,0.45660337617889
1980,"INDIANA",2242033,0.560052416712867,0.376531924373995,0.0634156589131382,0.597973286701498,0.402026713298502
1980,"IOWA",1317661,0.513050018176147,0.386041629827399,0.100908351996454,0.570631502712084,0.429368497287916
1980,"KANSAS",979795,0.578500604718334,0.33287575462214,0.0886236406595257,0.634754894385203,0.365245105614797
1980,"KENTUCKY",1295627,0.490321674370787,0.476539158260827,0.0331391673683861,0.507127456012696,0.492872543987304
1980,"LOUISIANA",1548591,0.5119834740096,0.457482317797275,0.0305342081931252,0.528108859885993,0.471891140114007
1980,"MAINE",523011,0.456055417572479,0.422503541990513,0.121441040437008,0.519094834340234,0.480905165659766
1980,"MARYLAND",1540496,0.441809650917627,0.471381295374996,0.0868090537073774,0.483808619337815,0.516191380662185
1980,"MASSACHUSETTS",2524090,0.419014773641193,0.417497791283195,0.163487435075611,0.500906730168563,0.499093269831437
1980,"MICHIGAN",3909725,0.489861818925884,0.424974135009496,0.0851640460646209,0.535464108967984,0.464535891032016
1980,"MINNESOTA",2051916,0.42558662245433,0.465015624421273,0.109397753124397,0.477863854428132,0.522136145571868
1980,"MISSISSIPPI",891750,0.494633024950939,0.481391645640594,0.0239753294084665,0.506783322035456,0.493216677964544
1980,"MISSOURI",2099824,0.511557635306578,0.443457165933907,0.0449851987595151,0.535654143414434,0.464345856585566
1980,"MONTANA",363952,0.568245263111619,0.324306501956302,0.107448234932079,0.636652444542953,0.363347555457047
1980,"NEBRASKA",639533,0.655500185291455,0.260227384669751,0.0842724300387939,0.715824451282191,0.284175548717809
1980,"NEVADA",243692,0.636118543078969,0.273566633291204,0.0903148236298278,0.699273286630008,0.300726713369992
1980,"NEW HAMPSHIRE",383990,0.577371806557462,0.283507383004766,0.139120810437772,0.67067692372848,0.32932307627152
1980,"NEW JERSEY",2975684,0.519731597844395,0.385579920448542,0.094688481707063,0.574091445146313,0.425908554853687
1980,"NEW MEXICO",456237,0.549668264520414,0.367848289375916,0.0824834461036698,0.59908266743111,0.40091733256889
1980,"NEW YORK",6201959,0.425301102441986,0.439920999155267,0.134777898402747,0.49155136196458,0.50844863803542
1980,"NORTH CAROLINA",1855833,0.493049751782623,0.471828553539031,0.0351216946783466,0.510996826297446,0.489003173702554
1980,"NORTH DAKOTA",301116,0.643257083648826,0.262985029025359,0.0937578873258146,0.709807097521291,0.290192902478709
1980,"OHIO",4283603,0.515114262456161,0.409098135378092,0.0757876021657469,0.557354850100746,0.442645149899254
1980,"OKLAHOMA",1149708,0.604997094914535,0.349676613540134,0.0453262915453315,0.633721332803691,0.366278667196309
1980,"OREGON",1181516,0.483314656763006,0.386698106500462,0.129987236736532,0.555525938435736,0.444474061564264
1980,"PENNSYLVANIA",4561501,0.495861340378967,0.424759306202059,0.0793793534189733,0.538616358671166,0.461383641328834
1980,"RHODE ISLAND",415967,0.372128077467684,0.47682147862691,0.151050443905406,0.438339445254648,0.561660554745352
1980,"SOUTH CAROLINA",888258,0.49453762307798,0.482089663138413,0.0233727137836079,0.506372932701785,0.493627067298215
1980,"SOUTH DAKOTA",327703,0.605252316884496,0.31691806300217,0.0778296201133343,0.656334588580997,0.343665411419003
1980,"TENNESSEE",1617616,0.486988877459174,0.484077185191047,0.0289339373497789,0.501499224604854,0.498500775395146
1980,"TEXAS",4541636,0.552819512616159,0.414200301389191,0.0329801859946504,0.571673407938155,0.428326592061845
1980,"UTAH",604152,0.727775460480144,0.20568664839312,0.0665378911267363,0.779651850420159,0.220348149579841
1980,"VERMONT",213299,0.443640148336373,0.384211834092049,0.172148017571578,0.535893079623966,0.464106920376034
1980,"VIRGINIA",1866032,0.530327990088059,0.40308740686119,0.0665846030507515,0.568158605291245,0.431841394708755
1980,"WASHINGTON",1742394,0.496583436352513,0.373160720250414,0.130255843397073,0.570953460948888,0.429046539051112
1980,"WEST VIRGINIA",737715,0.453028608609016,0.498108348074799,0.0488630433161858,0.476302182798703,0.523697817201297
1980,"WISCONSIN",2273221,0.478987744702341,0.43180315508259,0.0892091002150693,0.525903085785603,0.474096914214397
1980,"WYOMING",176713,0.626439480966313,0.27970211586018,0.0938584031735073,0.691326259781299,0.308673740218701
1984,"ALABAMA",1441713,0.605424935476062,0.382807812650645,0.0117672518732924,0.612633953513183,0.387366046486817
1984,"ALASKA",207605,0.666539823221984,0.298677777510176,0.0347823992678404,0.690559126477164,0.309440873522836
1984,"ARIZONA",1025897,0.664214828584156,0.325426431698309,0.010358739717535,0.67116727570006,0.32883272429994
1984,"ARKANSAS",884406,0.604670253254727,0.382907850014586,0.012421896730687,0.612275881019441,0.387724118980559
1984,"CALIFORNIA",9505041,0.575169428516931,0.412677756992316,0.0121528144907529,0.582245348221977,0.417754651778023
1984,"COLORADO",1295380,0.634421559696769,0.351228983001127,0.0143494573021044,0.643657698356506,0.356342301643494
1984,"CONNECTICUT",1466900,0.607319517349513,0.388299815938373,0.00438066671211398,0.60999168763018,0.39000831236982
1984,"DELAWARE",254572,0.597826940904734,0.399321213644863,0.00285184545040303,0.599536726991956,0.400463273008044
1984,"DISTRICT OF COLUMBIA",211288,0.137296013024876,0.853848775131574,0.00885521184355004,0.138522660528992,0.861477339471008
1984,"FLORIDA",4180051,0.653185810412361,0.346602469682786,0.000211719904852836,0.653324132135455,0.346675867864545
1984,"GEORGIA",1776103,0.601722985660178,0.397853052441215,0.000423961898606106,0.601978201481398,0.398021798518602
1984,"HAWAII",335846,0.550996587721753,0.438159156279962,0.0108442559982849,0.557037242176494,0.442962757823506
1984,"IDAHO",411144,0.723646702858366,0.263922129472885,0.0124311676687487,0.73275571197415,0.26724428802585
1984,"ILLINOIS",4819088,0.561745915409721,0.432965532067478,0.00528855252280099,0.564732533072207,0.435267466927793
1984,"INDIANA",2233069,0.616743145867862,0.37682713789856,0.00642971623357809,0.620734291216837,0.379265708783163
1984,"IOWA",1319805,0.532721121680854,0.458870818037513,0.00840806028163251,0.537238253300201,0.462761746699799
